subTopicID	resultID
1.4	1.3
1.4	1.4
1.4	1.10
1.4	1.11
1.4	1.12
1.4	1.18
1.4	1.19
1.4	1.23
1.4	1.24
1.4	1.34
1.4	1.36
1.4	1.39
1.4	1.45
1.4	1.47
1.4	1.49
1.4	1.51
1.4	1.52
1.4	1.54
1.4	1.56
1.4	1.57
1.4	1.58
1.4	1.62
1.4	1.63
1.4	1.64
1.4	1.65
1.4	1.68
1.4	1.78
1.4	1.83
1.4	1.84
1.4	1.85
1.4	1.90
1.4	1.93
1.4	1.94
1.4	1.95
1.5	1.2
1.5	1.4
1.5	1.15
1.5	1.17
1.5	1.27
1.5	1.29
1.5	1.42
1.5	1.67
1.5	1.69
1.5	1.75
1.5	1.82
1.5	1.88
1.12	1.16
1.17	1.37
1.18	1.7
1.18	1.53
1.18	1.71
1.19	1.1
1.20	1.14
1.21	1.40
1.22	1.6
1.22	1.20
1.22	1.79
1.22	1.80
1.24	1.74
1.24	1.76
1.27	1.5
2.1	2.1
2.1	2.2
2.1	2.4
2.1	2.5
2.1	2.7
2.1	2.8
2.1	2.9
2.1	2.12
2.1	2.14
2.1	2.15
2.1	2.16
2.1	2.18
2.1	2.19
2.1	2.22
2.1	2.23
2.1	2.24
2.1	2.27
2.1	2.29
2.1	2.30
2.1	2.31
2.1	2.33
2.1	2.34
2.1	2.35
2.1	2.37
2.1	2.42
2.1	2.43
2.1	2.44
2.1	2.45
2.1	2.48
2.1	2.50
2.1	2.54
2.1	2.56
2.1	2.57
2.1	2.58
2.1	2.59
2.1	2.60
2.1	2.62
2.1	2.64
2.1	2.66
2.1	2.69
2.1	2.70
2.1	2.72
2.1	2.84
2.1	2.85
2.1	2.86
2.1	2.87
2.1	2.89
2.1	2.90
2.1	2.92
2.1	2.95
2.4	2.3
2.4	2.13
2.4	2.25
2.4	2.36
2.4	2.40
2.4	2.41
2.4	2.52
2.4	2.61
2.4	2.65
2.4	2.67
2.4	2.74
2.4	2.80
2.4	2.93
2.4	2.94
2.4	2.96
2.4	2.97
2.4	2.98
2.5	2.10
2.5	2.21
2.5	2.49
2.5	2.51
2.5	2.76
2.5	2.78
2.5	2.83
2.5	2.91
3.1	3.1
3.1	3.4
3.1	3.8
3.1	3.9
3.1	3.10
3.1	3.12
3.1	3.13
3.1	3.14
3.1	3.15
3.1	3.17
3.1	3.18
3.1	3.19
3.1	3.23
3.1	3.25
3.1	3.26
3.1	3.28
3.1	3.29
3.1	3.31
3.1	3.32
3.1	3.36
3.1	3.37
3.1	3.38
3.1	3.39
3.1	3.42
3.1	3.44
3.1	3.46
3.1	3.48
3.1	3.49
3.1	3.52
3.1	3.55
3.1	3.56
3.1	3.58
3.1	3.59
3.1	3.60
3.1	3.63
3.1	3.64
3.1	3.66
3.1	3.67
3.1	3.68
3.1	3.70
3.1	3.71
3.1	3.72
3.1	3.73
3.1	3.75
3.1	3.80
3.1	3.83
3.1	3.84
3.1	3.86
3.1	3.87
3.1	3.88
3.1	3.90
3.1	3.92
3.1	3.93
3.1	3.99
3.1	3.100
3.2	3.78
3.2	3.81
3.5	3.3
3.5	3.22
3.5	3.30
3.5	3.57
3.5	3.62
3.5	3.69
3.5	3.79
3.5	3.82
3.5	3.91
3.5	3.94
3.5	3.97
3.8	3.2
3.8	3.5
3.8	3.6
3.8	3.11
3.8	3.16
3.8	3.27
3.8	3.35
3.8	3.41
3.8	3.43
3.8	3.47
3.8	3.50
3.8	3.51
3.8	3.54
3.8	3.61
3.8	3.74
3.8	3.77
3.8	3.95
3.8	3.96
4.1	4.1
4.1	4.2
4.1	4.4
4.1	4.7
4.1	4.8
4.1	4.9
4.1	4.10
4.1	4.12
4.1	4.13
4.1	4.14
4.1	4.16
4.1	4.17
4.1	4.18
4.1	4.21
4.1	4.24
4.1	4.25
4.1	4.26
4.1	4.28
4.1	4.30
4.1	4.31
4.1	4.32
4.1	4.34
4.1	4.35
4.1	4.37
4.1	4.38
4.1	4.39
4.1	4.41
4.1	4.42
4.1	4.44
4.1	4.45
4.1	4.46
4.1	4.47
4.1	4.49
4.1	4.50
4.1	4.52
4.1	4.53
4.1	4.55
4.1	4.56
4.1	4.58
4.1	4.59
4.1	4.60
4.1	4.61
4.1	4.62
4.1	4.63
4.1	4.64
4.1	4.67
4.1	4.68
4.1	4.69
4.1	4.70
4.1	4.72
4.1	4.73
4.1	4.74
4.1	4.75
4.1	4.77
4.1	4.79
4.1	4.81
4.1	4.84
4.1	4.86
4.1	4.89
4.1	4.92
4.1	4.94
4.1	4.99
4.2	4.1
4.2	4.33
4.2	4.43
4.2	4.87
4.3	4.20
4.3	4.42
4.3	4.48
4.3	4.54
4.3	4.65
4.3	4.71
4.3	4.91
4.3	4.96
4.5	4.5
4.5	4.13
4.5	4.19
4.5	4.42
4.5	4.64
4.5	4.88
4.5	4.93
5.1	5.2
5.1	5.3
5.1	5.4
5.1	5.11
5.1	5.17
5.1	5.19
5.1	5.21
5.1	5.24
5.1	5.26
5.1	5.27
5.1	5.29
5.1	5.33
5.1	5.34
5.1	5.35
5.1	5.36
5.1	5.37
5.1	5.40
5.1	5.44
5.1	5.48
5.1	5.57
5.1	5.69
5.1	5.74
5.1	5.76
5.1	5.91
5.2	5.64
5.2	5.78
5.2	5.84
5.4	5.43
5.4	5.63
5.4	5.81
5.6	5.22
5.6	5.38
5.9	5.16
5.18	5.6
5.18	5.39
5.20	5.49
5.21	5.7
5.21	5.9
6.1	6.2
6.1	6.7
6.1	6.8
6.1	6.10
6.1	6.12
6.1	6.15
6.1	6.17
6.1	6.24
6.1	6.29
6.1	6.30
6.1	6.32
6.1	6.33
6.1	6.34
6.1	6.35
6.1	6.36
6.1	6.38
6.1	6.39
6.1	6.41
6.1	6.45
6.1	6.47
6.1	6.52
6.1	6.55
6.1	6.65
6.1	6.67
6.1	6.71
6.1	6.72
6.1	6.73
6.1	6.87
6.1	6.88
6.1	6.93
6.1	6.95
6.1	6.96
6.1	6.97
6.1	6.98
6.1	6.99
6.2	6.1
6.2	6.3
6.2	6.4
6.2	6.6
6.2	6.9
6.2	6.18
6.2	6.19
6.2	6.20
6.2	6.21
6.2	6.22
6.2	6.26
6.2	6.27
6.2	6.31
6.2	6.54
6.2	6.70
6.2	6.74
6.2	6.79
6.2	6.85
6.2	6.86
6.2	6.90
6.2	6.100
6.3	6.81
6.4	6.11
6.4	6.61
6.4	6.62
6.4	6.66
6.4	6.91
6.8	6.16
6.8	6.58
6.8	6.64
6.9	6.13
6.9	6.25
6.9	6.28
6.9	6.56
6.9	6.60
7.1	7.3
7.1	7.6
7.1	7.10
7.1	7.13
7.1	7.22
7.1	7.39
7.1	7.53
7.1	7.58
7.1	7.63
7.1	7.75
7.1	7.80
7.1	7.95
7.1	7.97
7.1	7.99
7.1	7.100
7.3	7.15
7.3	7.78
7.4	7.4
7.4	7.5
7.4	7.17
7.4	7.28
7.4	7.32
7.4	7.44
7.4	7.46
7.4	7.47
7.4	7.52
7.4	7.56
7.4	7.57
7.4	7.58
7.4	7.64
7.4	7.74
7.4	7.83
7.4	7.84
7.4	7.85
7.4	7.86
7.4	7.97
7.6	7.7
7.6	7.18
7.6	7.20
7.6	7.24
7.6	7.25
7.6	7.38
7.6	7.87
7.6	7.93
7.6	7.94
8.1	8.2
8.1	8.4
8.1	8.27
8.3	8.67
8.5	8.59
8.6	8.1
8.6	8.5
8.6	8.29
8.6	8.36
8.8	8.23
8.8	8.50
8.8	8.60
8.8	8.98
8.10	8.6
8.10	8.11
8.10	8.17
8.10	8.51
8.10	8.74
8.12	8.3
8.12	8.9
8.12	8.10
8.12	8.18
8.12	8.55
8.12	8.72
8.12	8.76
8.13	8.7
8.13	8.24
8.13	8.25
8.13	8.39
8.13	8.41
8.13	8.42
8.13	8.52
8.13	8.53
8.13	8.63
8.13	8.78
8.13	8.79
8.13	8.82
8.13	8.95
8.20	8.28
8.20	8.31
8.20	8.32
8.20	8.33
8.20	8.35
8.20	8.47
8.20	8.90
8.20	8.91
8.26	8.14
8.26	8.71
9.1	9.4
9.1	9.11
9.1	9.20
9.1	9.23
9.1	9.24
9.1	9.27
9.1	9.38
9.1	9.87
9.3	9.2
9.3	9.5
9.7	9.6
9.7	9.8
9.7	9.9
9.7	9.10
9.7	9.13
9.7	9.15
9.7	9.22
9.7	9.29
9.7	9.34
9.7	9.37
9.7	9.40
9.7	9.41
9.7	9.44
9.7	9.47
9.7	9.52
9.7	9.54
9.7	9.58
9.7	9.65
9.7	9.67
9.7	9.69
9.7	9.72
9.7	9.74
9.7	9.75
9.7	9.76
9.7	9.77
9.7	9.78
9.7	9.83
9.7	9.85
9.7	9.88
9.7	9.89
9.7	9.90
9.7	9.95
9.7	9.96
9.7	9.100
9.8	9.30
9.8	9.36
9.8	9.42
9.8	9.47
9.8	9.57
9.8	9.61
9.8	9.64
9.8	9.84
9.8	9.91
9.9	9.48
9.9	9.94
9.10	9.1
9.10	9.12
9.10	9.50
9.12	9.3
9.12	9.35
9.12	9.46
9.12	9.70
9.12	9.80
9.15	9.19
9.15	9.63
10.1	10.13
10.1	10.20
10.1	10.23
10.1	10.24
10.1	10.36
10.1	10.37
10.1	10.50
10.1	10.65
10.2	10.2
10.2	10.5
10.2	10.11
10.2	10.15
10.2	10.29
10.2	10.61
10.2	10.72
10.2	10.73
10.2	10.74
10.2	10.81
10.4	10.38
10.4	10.96
10.5	10.6
10.10	10.14
10.12	10.45
10.12	10.75
10.20	10.7
10.20	10.10
10.20	10.77
10.20	10.82
10.21	10.1
10.21	10.4
10.21	10.16
10.21	10.54
11.1	11.52
11.1	11.63
11.1	11.65
11.1	11.74
11.2	11.1
11.2	11.5
11.2	11.22
11.2	11.26
11.2	11.28
11.2	11.52
11.2	11.53
11.2	11.58
11.2	11.60
11.2	11.63
11.2	11.72
11.2	11.74
11.2	11.85
11.2	11.98
11.3	11.3
11.6	11.4
11.6	11.6
11.6	11.11
11.6	11.12
11.6	11.21
11.6	11.25
11.6	11.27
11.6	11.31
11.6	11.32
11.6	11.33
11.6	11.39
11.6	11.40
11.6	11.45
11.6	11.73
11.6	11.75
11.6	11.76
11.6	11.78
11.6	11.80
11.6	11.83
11.6	11.86
11.6	11.88
11.6	11.95
11.8	11.8
11.8	11.14
11.8	11.23
11.8	11.24
11.8	11.30
11.8	11.41
11.8	11.44
11.8	11.46
11.8	11.49
11.8	11.62
11.8	11.67
11.8	11.70
11.8	11.77
11.8	11.82
11.8	11.90
11.8	11.94
11.8	11.97
11.10	11.51
11.10	11.54
11.10	11.59
11.10	11.69
11.10	11.79
11.10	11.91
11.10	11.93
11.11	11.20
11.11	11.59
11.11	11.79
11.13	11.55
11.13	11.64
11.13	11.81
11.13	11.100
12.1	12.10
12.1	12.17
12.1	12.53
12.1	12.71
12.1	12.76
12.1	12.77
12.2	12.13
12.2	12.62
12.2	12.66
12.2	12.68
12.2	12.95
12.3	12.4
12.3	12.15
12.3	12.18
12.3	12.24
