ID	description
1.1	Aida, female given name
1.2	Aida can be a Japanese name
1.3	A Persian name
1.4	Aida, the opera by Giuseppe Verdi
1.5	Aida, the musical by Elton John and Tim Rice whose story is based on that of the opera
1.6	Aida(band), a Korean pop group
1.7	AIDA(Organisation)- The All India DJs' Association- An Association comprising of DJs from India
1.8	Aida, Okayama, a former town in Japan, known for the"Aida" racecar circuit
1.9	Aida District, Okayama, Japan
1.10	Aida(West Bank), a Palestinian refugee camp
1.11	Aida(dancing), a figure in ballroom dancing
1.12	Aida, the 1953 film with Sophia Loren
1.13	Aida, the 1971 Philippine film
1.14	Aida(film), the 1987 Swedish film
1.15	Aída, a Spanish TV series, a spin-off from 7 Vidas
1.16	Aida is a character from The Cairo Trilogy, by Naquib Mahfouz.
1.17	AIDA32, computer software that provides information on hardware
1.18	AIDA, a set of defined interfaces and formats for representing common data analysis objects, primarily used by researchers in high-energy particle physics.
1.19	AIDA International The International Association for the Development of Freediving
1.20	AIDA- the International Association of Insurance Law.
1.21	AIDA, an acronym used in marketing.
1.22	AIDA interactive educational freeware diabetes simulator, originally developed as an attempt at a Automated Insulin Dosage Advisor.
1.23	Aida(café), a chain of coffeehouses in Vienna, Austria
1.24	Aida cloth, used in Cross-stitch
1.25	Aida, a cruise ship owned by P&amp;O, the Peninsular and Oriental Steam Navigation Company
1.26	Tanaka International Aida circuit, a racecar circuit which hosted the Formula One Pacific Grand Prix in 1994 and 1995.
1.27	AIDA, a global list of international development projects.
1.28	Australasian Intervarsity Debating Championships, organized by Australasian Intervarsity Debating Association
1.29	Military Operation, Operation Aida was Rommel's penultimate effort to take Egypt from the British using the Afrikakorps in mid-1942.
1.30	AIDA, Artificially Intelligent Data Anomalies, fictional AIs in the.hack franchise
1.31	Aida Association, Spanish non-profit organization
2.1	B-52 Stratofortress, a strategic bomber aircraft designed by Boeing
2.2	B-52 Units, USAF units that have flown the strategic bomber
2.3	B-52(hairstyle), a hairstyle, named after the aircraft
2.4	The B-52's, a rock band, named after the hairstyle named after the aircraft
2.5	B-52(cocktail)
2.6	One of the Encyclopaedia of Chess Openings codes for the Sicilian Defence in chess
3.1	Beagle is a dog breed
3.2	HMS Beagle, the ship in which Charles Darwin undertook the travels during which he made many observations which became important for his formulation of his theory of evolution
3.3	The Beagle Channel in extreme southern South America near the Strait of Magellan, named after HMS Beagle which explored it twice
3.4	The Beagle Gulf in the vicinity of Australian city of Darwin, Northern Territory, named after HMS Beagle which explored it in 1839
3.5	Beagle 2, a failed British Mars lander named after HMS Beagle. It crashed on 25 December 2003
3.6	The Soviet Ilyushin Il-28 bomber aircraft, which had the NATO reporting name of Beagle
3.7	Beagle Aircraft, a former British aircraft manufacturer
3.8	Beagle(software), a desktop search service for GNU/Linux users.
3.9	Beagle(crater), the crater on Mars explored by the Opportunity rover
3.10	Peter S. Beagle, fantasy writer
3.11	Beagle(beer), an Argentinean beer
4.1	The Bronx, one of the five boroughs of New York City
4.2	Bronx River, a river that flows south through The Bronx
4.3	The Bronx(band), an American punk rock band
4.4	Bronx(cocktail), an alcoholic beverage
4.5	Bronx Zoo
4.6	Bronx Botanical Garden
4.7	Bronx Beat, a Saturday Night Live skit
4.8	A Bronx Morning, a 1931 avant-garde film
4.9	"The Bronx Bombers", nickname of the New York Yankees baseball team
4.10	Bronx, a dog-like beast from the Gargoyles(TV series)
5.1	Cain, the first son of Adam and Eve, according to the Bible
5.2	Dean Cain, an American actor
5.3	Herb Cain, a professional Canadian ice hockey player
5.4	James M. Cain, an American crime writer
5.5	Liz Cain, Australian ice skater
5.6	Matt Cain, a baseball pitcher
5.7	Cain, a murderous drug-dealer in the film RoboCop 2
5.8	Commissar Ciaphas Cain, fictional character from the Warhammer 40,000 universe
5.9	Cain Dingle, Emmerdale character
5.10	Cain(fictional character), the decoy assassin in Robert Ludlum's The Bourne Identity
5.11	Cain Nightroad is the main villain from the anime Trinity Blood
5.12	Kaine, a fictional character from Marvel Comics and clone of Spider-Man
5.13	Cain of Cain and Abel(comics), most notably seen in the Sandman series, is a fictional character from DC Comics based on the biblical Cain
5.14	David Cain(comics), a fictional character from DC Comics and father of the current Batgirl
5.15	Cain Marko, a fictional character from Marvel Comics known as the Juggernaut
5.16	Cain, a fictional character from the anime Bleach
5.17	Commander Cain, of the Battlestar Pegasus in Battlestar Galactica
5.18	Helena Cain, Admiral in Battlestar Galactica
5.19	The Mark of Cain, an Australian hard rock band
5.20	Cain(play), a play by Lord Byron
5.21	Cain(software), password cracking software
5.22	CAIN or Conflict Archive on the Internet, a website
6.1	Camels are a species of humped ungulate
6.2	Camel(band), an English progressive rock band
6.3	CamelCase, lettering scheme
6.4	Camel(cigarette), a brand of U.S. cigarette
6.5	Sopwith Camel Scout, a British World War I single-seat fighter aircraft that was famous for its manoeuvrability
6.6	Camel spin, a spin move in figure skating
6.7	Camel Trophy
6.8	Camel spider, an order of arachnids
6.9	Programming Perl, known as the Camel Book, a manual for the Perl programming language
6.10	Customised Applications for Mobile networks Enhanced Logic, a set of GSM standards
6.11	Camel(paint), a brand of paint
6.12	Camel, a fairy chess piece
6.13	Camel(1872- 1892), one of the ten South Devon Railway Buffalo class steam locomotives
7.1	Coral Sea, a region of the north-east coast of Australia with a namesake chain of islands
7.2	Gay and Lesbian Kingdom of the Coral Sea Islands, a micronation established as a symbolic political protest by a group of gay rights activists based in southeast Queensland Australia
7.3	The Coral Sea, a Santa Barbara, California based Art Rock band led by Rey Villalobos
7.4	Battle of the Coral Sea(1942), fought between the USA and Japan, the first fleet action in which aircraft carriers engaged each other
7.5	Coral sea gregory, a damselfish of the family Pomacentridae, found on coral and rocky reefs in the western Pacific Ocean
7.6	USS Coral Sea, disambiguation
8.1	Cube(geometry), a shape in three or higher dimensions
8.2	Cube(algebra), the third power of a number
8.3	Alamo, a Sculpture by Bernard(Tony) Rosenthal, commonly known as The Cube.
8.4	The Cube, a 1969 movie by Jim Henson
8.5	Cube(band), an Alternative/Heavy rock band from Athens, Greece
8.6	Cube(film), a 1997 Canadian movie, the first in the Cube series of movies
8.7	Cube Microplex, a cinema in Bristol, England
8.8	Ice Cube, a rapper, often referred to simply as"Cube"
8.9	The Cube(game), an old Sufi psychological exercise involving visualization and intuition
8.10	Nintendo GameCube, often referred to as cube for short
8.11	CUBE(magazine), an unofficial Nintendo GameCube magazine in the UK
8.12	Cube(computer game), a free software first-person shooter
8.13	Rubik's cube, a cube-shaped puzzle with movable sub-cubes
8.14	Soul Cube, a fictional artifact in Doom 3
8.15	The Receda Cube, the MacGuffin in Perplex City
8.16	Cube Records, a record label
8.17	Borg Cube, a Borg starship from Star Trek
8.18	Aprilia RS3 Cube, a MotoGP race bike
8.19	Nissan Cube, a type of automobile
8.20	Power Mac G4 Cube, a compact computer from Apple
8.21	OLAP cube, a representation of relational data used in Data Warehousing
8.22	CuBe, an alloy of copper and beryllium
8.23	Cube(Birmingham), a proposed building in Birmingham, England
8.24	CUBE, the Club for Undergraduate Biomedical Engineering, Canada
8.25	The Cubé plant or Lancepod( Lonchocarpus utilis)
8.26	Time Cube, 4-corner knowledge of the universe[1]
9.1	Eos is the goddess of dawn in Greek mythology
9.2	European Optical Society
9.3	Eos(journal), the weekly journal of the American Geophysical Union
9.4	Eos(genus), a genus of lorikeets
9.5	Eos(fictional dog), a dog in the historical novel Funeral Games
9.6	Eos, a fictional planet within the Star Wars universe
9.7	Canon EOS, a series of film and digital single-lens reflex cameras made by Canon
9.8	Volkswagen Eos, a coupé convertible vehicle
9.9	Eos Press, a publisher of card games and role-playing games
9.10	Eos Airlines, an airline operating between the UK and USA
9.11	221 Eos, an asteroid
9.12	Earth Observing System of NASA
9.13	E/OS, a computer operating system for virtual machine emulation
9.14	EOS(operating system), a supercomputer operating system in the 1980s
9.15	Eos, an imprint of HarperCollins Publishing
9.16	Eos, the name of a character in THQ's videogame Red Faction
9.17	EoS, the Ethernet over SONET/SDH protocol set
9.18	EOS, Electrical Overstress, the primary cause of integrated circuit failure
9.19	EOS, Economies of scale
9.20	E.O.S.: Earth Orbit Stations, a space station simulation computer game by Electronic Arts
9.21	Enclosed Operating Station, aboard US Navy nuclear-powered aircraft carriers, the control room from which each of its two nuclear propulsion plants is controlled
10.1	Excalibur is the mythical sword of King Arthur
10.2	Excalibur(film), a 1981 film about the legend of King Arthur
10.3	Excalibur(album), a 1999 album about the legend by metal band Grave Digger
10.4	Excalibur(automobile), a type of"contemporary classic" retro-styled car
10.5	Excalibur(comics), both a Marvel Comics series set in the United Kingdom and a series featuring Professor X and Magneto in Genosha
10.6	Excalibur(computer game), a 1983 video game by Chris Crawford
10.7	Excalibur(computer system), a"rebuttal engine" used by the Labour Party(UK) in the United Kingdom general election, 1997
10.8	Excalibur(Funtown Splashtown USA), a wooden roller coaster at Funtown Splashtown USA in Saco, Maine
10.9	Excalibur(laser), a fictional chemical laser weapon in Ace Combat Zero
10.10	Excalibur(newspaper), the student newspaper of York University
10.11	Excalibur(novel), a fantasy novel by Sanders Anne Laubenthal
10.12	Excalibur(nightclub), a large and well-known nightclub in Chicago, founded in 1989
10.13	Excalibur(paintball), a make of paintball gun
10.14	Excalibur(prehistoric tool), the so-named prehistoric axe made of red quartzite found at the Sima de los Huesos in the Sierra de Atapuerca. It is hypothesized to be some kind of ritual offering for a funeral.
