ID	description
1.1	Arts > Animation > Anime
1.2	Arts > Animation > Cartoons
1.3	Arts > Animation > Voice_Actors
1.4	Arts > Animation > Movies
1.5	Arts > Animation > Web
1.6	Arts > Animation > Artists
1.7	Arts > Animation > Stop-Motion
1.8	Arts > Animation > Training
1.9	Arts > Animation > Collectibles
1.10	Arts > Animation > Organizations
2.1	Arts > Architecture > Building_Types
2.2	Arts > Architecture > History
2.3	Arts > Architecture > Preservation
2.4	Arts > Architecture > Education
2.5	Arts > Architecture > Associations
2.6	Arts > Architecture > Famous_Names
2.7	Arts > Architecture > Landscape
2.8	Arts > Architecture > News_and_Media
2.9	Arts > Architecture > Events
2.10	Arts > Architecture > Experimental
3.1	Arts > Bodyart > Tattoo
3.2	Arts > Bodyart > Bodypainting
3.3	Arts > Bodyart > Studios
3.4	Arts > Bodyart > Piercing
3.5	Arts > Bodyart > Magazines_and_E-zines
3.6	Arts > Bodyart > Licensing_and_Regulations
3.7	Arts > Bodyart > Schools_and_Instruction
3.8	Arts > Bodyart > Web_Rings
3.9	Arts > Bodyart > Personal_Pages
3.10	Arts > Bodyart > Articles
4.1	Arts > Comics > Comic_Strips_and_Panels
4.2	Arts > Comics > Manga
4.3	Arts > Comics > Creators
4.4	Arts > Comics > Titles
4.5	Arts > Comics > Retailers
4.6	Arts > Comics > Publishers
4.7	Arts > Comics > Online
4.8	Arts > Comics > Resources
4.9	Arts > Comics > Fan_Pages
4.10	Arts > Comics > Magazines_and_E-zines
5.1	Arts > Crafts > Woodcraft
5.2	Arts > Crafts > Ceramic_Art_and_Pottery
5.3	Arts > Crafts > Textiles
5.4	Arts > Crafts > Knitting_and_Crochet
5.5	Arts > Crafts > Needlework
5.6	Arts > Crafts > Quilting
5.7	Arts > Crafts > Flowers
5.8	Arts > Crafts > Metal_Craft
5.9	Arts > Crafts > Glass
5.10	Arts > Crafts > Paper
6.1	Arts > Education > Language_Arts
6.2	Arts > Education > Colleges_and_Departments
6.3	Arts > Education > Educators
6.4	Arts > Education > Schools_and_Academies
6.5	Arts > Education > Organizations
6.6	Arts > Education > Learning_Resources
6.7	Arts > Education > Publications
7.1	Arts > Illustration > Illustrator_Portfolios
7.2	Arts > Illustration > Historic_Illustrators
7.3	Arts > Illustration > Children's
7.4	Arts > Illustration > Airbrush
7.5	Arts > Illustration > Specialized
7.6	Arts > Illustration > Cartoons
7.7	Arts > Illustration > Science_Fiction_and_Fantasy
7.8	Arts > Illustration > Caricature
7.9	Arts > Illustration > Whimsical_and_Humorous
7.10	Arts > Illustration > Editorial_Illustration
8.1	Arts > Literature > Authors
8.2	Arts > Literature > World_Literature
8.3	Arts > Literature > Genres
8.4	Arts > Literature > Poetry
8.5	Arts > Literature > Children's
8.6	Arts > Literature > Drama
8.7	Arts > Literature > Myths_and_Folktales
8.8	Arts > Literature > Periods_and_Movements
8.9	Arts > Literature > Reviews_and_Criticism
8.10	Arts > Literature > Cultural
9.1	Arts > Movies > Titles
9.2	Arts > Movies > Filmmaking
9.3	Arts > Movies > Genres
9.4	Arts > Movies > Theaters
9.5	Arts > Movies > Reviews
9.6	Arts > Movies > Film_Festivals
9.7	Arts > Movies > Cultures_and_Groups
9.8	Arts > Movies > Studios
9.9	Arts > Movies > Organizations
9.10	Arts > Movies > News_and_Media
10.1	Arts > Music > Bands_and_Artists
10.2	Arts > Music > Styles
10.3	Arts > Music > Composition
10.4	Arts > Music > Instruments
10.5	Arts > Music > Vocal
10.6	Arts > Music > Sound_Files
10.7	Arts > Music > Marching
10.8	Arts > Music > Women_in_Music
10.9	Arts > Music > Lyrics
10.10	Arts > Music > DJs
11.1	Arts > Online_Writing > Poetry
11.2	Arts > Online_Writing > Fiction
11.3	Arts > Online_Writing > Journals
11.4	Arts > Online_Writing > Mixed_Genre
11.5	Arts > Online_Writing > E-zines
11.6	Arts > Online_Writing > Non-Fiction
11.7	Arts > Online_Writing > Chats_and_Forums
11.8	Arts > Online_Writing > Web_Rings
11.9	Arts > Online_Writing > Drama
12.1	Arts > People > S
12.2	Arts > People > M
12.3	Arts > People > L
12.4	Arts > People > H
12.5	Arts > People > R
12.6	Arts > People > C
12.7	Arts > People > P
12.8	Arts > People > B
12.9	Arts > People > D
12.10	Arts > People > K
13.1	Arts > Performing_Arts > Acting
13.2	Arts > Performing_Arts > Dance
13.3	Arts > Performing_Arts > Theatre
13.4	Arts > Performing_Arts > Comedy
13.5	Arts > Performing_Arts > Magic
13.6	Arts > Performing_Arts > Circus
13.7	Arts > Performing_Arts > Storytelling
13.8	Arts > Performing_Arts > Puppetry
13.9	Arts > Performing_Arts > Performers
13.10	Arts > Performing_Arts > Stunts
14.1	Arts > Photography > Photographers
14.2	Arts > Photography > Techniques_and_Styles
14.3	Arts > Photography > Equipment_and_Services
14.4	Arts > Photography > Weblogs
14.5	Arts > Photography > Education
14.6	Arts > Photography > Magazines_and_E-zines
14.7	Arts > Photography > Art_Galleries
14.8	Arts > Photography > Reference
14.9	Arts > Photography > Chats_and_Forums
14.10	Arts > Photography > Organizations
15.1	Arts > Radio > Regional
15.2	Arts > Radio > Formats
15.3	Arts > Radio > Internet
15.4	Arts > Radio > Personalities
15.5	Arts > Radio > International_Broadcasters
15.6	Arts > Radio > History
15.7	Arts > Radio > Tributes
15.8	Arts > Radio > Industry
15.9	Arts > Radio > Production_Services
15.10	Arts > Radio > Resources
16.1	Arts > Television > Programs
16.2	Arts > Television > Stations
16.3	Arts > Television > Networks
16.4	Arts > Television > Cable_Television
16.5	Arts > Television > People
16.6	Arts > Television > Interactive
16.7	Arts > Television > News
16.8	Arts > Television > Commercials
16.9	Arts > Television > History
16.10	Arts > Television > Satellite
17.1	Arts > Video > Video_Editing
17.2	Arts > Video > Alternative_Video
17.3	Arts > Video > Training
17.4	Arts > Video > Community_Video
17.5	Arts > Video > Education
17.6	Arts > Video > Directories
17.7	Arts > Video > Magazines_and_E-zines
18.1	Arts > Visual_Arts > Painting
18.2	Arts > Visual_Arts > Personal_Pages
18.3	Arts > Visual_Arts > Galleries
18.4	Arts > Visual_Arts > Sculpture
18.5	Arts > Visual_Arts > Multiple_Media_Artists
18.6	Arts > Visual_Arts > Computer_Graphics
18.7	Arts > Visual_Arts > Thematic
18.8	Arts > Visual_Arts > Native_and_Tribal
18.9	Arts > Visual_Arts > ASCII_Art
18.10	Arts > Visual_Arts > Drawing
19.1	Arts > Writers_Resources > Non-Fiction
19.2	Arts > Writers_Resources > Fiction
19.3	Arts > Writers_Resources > Organizations
19.4	Arts > Writers_Resources > News_and_Media
19.5	Arts > Writers_Resources > Screenwriting
19.6	Arts > Writers_Resources > Style_Guides
19.7	Arts > Writers_Resources > Software
19.8	Arts > Writers_Resources > Contests
19.9	Arts > Writers_Resources > FAQs,_Help,_and_Tutorials
19.10	Arts > Writers_Resources > Directories
20.1	Business > Agriculture_and_Forestry > Livestock
20.2	Business > Agriculture_and_Forestry > Horticulture
20.3	Business > Agriculture_and_Forestry > Equipment_and_Supplies
20.4	Business > Agriculture_and_Forestry > Forestry
20.5	Business > Agriculture_and_Forestry > Aquaculture
20.6	Business > Agriculture_and_Forestry > Field_Crops
20.7	Business > Agriculture_and_Forestry > Barns_and_Structures
20.8	Business > Agriculture_and_Forestry > Farm_Real_Estate
20.9	Business > Agriculture_and_Forestry > Fencing
20.10	Business > Agriculture_and_Forestry > Consulting
21.1	Business > Arts_and_Entertainment > Photography
21.2	Business > Arts_and_Entertainment > Music
21.3	Business > Arts_and_Entertainment > Media_Production
21.4	Business > Arts_and_Entertainment > Tools_and_Equipment
21.5	Business > Arts_and_Entertainment > Models
21.6	Business > Arts_and_Entertainment > Fashion
21.7	Business > Arts_and_Entertainment > Visual_Arts
21.8	Business > Arts_and_Entertainment > Sports
21.9	Business > Arts_and_Entertainment > Beauty_Pageants
21.10	Business > Arts_and_Entertainment > Media_Conglomerates
22.1	Business > Automotive > Parts_and_Accessories
22.2	Business > Automotive > Recreational_Vehicles
22.3	Business > Automotive > Motorcycles
22.4	Business > Automotive > Auto_Racing
22.5	Business > Automotive > Import_and_Export
22.6	Business > Automotive > Off-Road
22.7	Business > Automotive > Retail
22.8	Business > Automotive > News_and_Media
22.9	Business > Automotive > Software
22.10	Business > Automotive > Kit_Cars_and_Replicas
23.1	Business > Business_Services > Communications
23.2	Business > Business_Services > Fire_and_Security
23.3	Business > Business_Services > Design
23.4	Business > Business_Services > Signage
23.5	Business > Business_Services > AudioVisual
23.6	Business > Business_Services > Event_Planning_and_Production
23.7	Business > Business_Services > Consulting
23.8	Business > Business_Services > Office_Services
23.9	Business > Business_Services > Quality_Control_and_Tracking
23.10	Business > Business_Services > Auctions
24.1	Business > Chemicals > Polymers
24.2	Business > Chemicals > Coatings_and_Adhesives
24.3	Business > Chemicals > Basic_Chemicals
24.4	Business > Chemicals > Specialties
24.5	Business > Chemicals > Agrochemicals
24.6	Business > Chemicals > Diversified_Manufacturers
24.7	Business > Chemicals > Cleaning_Agents_and_Toiletries
24.8	Business > Chemicals > Wholesale_and_Distribution
24.9	Business > Chemicals > Biochemical
24.10	Business > Chemicals > Dyes_and_Pigments
25.1	Business > Construction_and_Maintenance > Materials_and_Supplies
25.2	Business > Construction_and_Maintenance > Design
25.3	Business > Construction_and_Maintenance > Tools_and_Equipment
25.4	Business > Construction_and_Maintenance > Commercial_Contractors
25.5	Business > Construction_and_Maintenance > Building_Types
25.6	Business > Construction_and_Maintenance > Consulting
25.7	Business > Construction_and_Maintenance > Trenchless_Technology
25.8	Business > Construction_and_Maintenance > Residential_Housing
25.9	Business > Construction_and_Maintenance > Landscaping
25.10	Business > Construction_and_Maintenance > Remodeling
26.1	Business > Consumer_Goods_and_Services > Clothing
26.2	Business > Consumer_Goods_and_Services > Home_and_Garden
26.3	Business > Consumer_Goods_and_Services > Sporting_Goods
26.4	Business > Consumer_Goods_and_Services > Electronics
26.5	Business > Consumer_Goods_and_Services > Watercraft
26.6	Business > Consumer_Goods_and_Services > Recreation
26.7	Business > Consumer_Goods_and_Services > Beauty
26.8	Business > Consumer_Goods_and_Services > Office_Products
26.9	Business > Consumer_Goods_and_Services > Jewelry
26.10	Business > Consumer_Goods_and_Services > Pet_Supplies
27.1	Business > E-Commerce > Consulting
27.2	Business > E-Commerce > Developers
27.3	Business > E-Commerce > Education_and_Training
27.4	Business > E-Commerce > Customer_Relationship_Management
27.5	Business > E-Commerce > Marketplaces
27.6	Business > E-Commerce > News_and_Media
27.7	Business > E-Commerce > Technology_Vendors
27.8	Business > E-Commerce > Conferences
27.9	Business > E-Commerce > Standards_and_Protocols
27.10	Business > E-Commerce > Associations
28.1	Business > Education_and_Training > Health_and_Safety
28.2	Business > Education_and_Training > Driving
28.3	Business > Education_and_Training > Business_Development
28.4	Business > Education_and_Training > Technology
28.5	Business > Education_and_Training > Team_Building
28.6	Business > Education_and_Training > Education
28.7	Business > Education_and_Training > Manual_Skills
29.1	Business > Electronics_and_Electrical > Components
29.2	Business > Electronics_and_Electrical > Electromechanical
29.3	Business > Electronics_and_Electrical > Instrumentation
29.4	Business > Electronics_and_Electrical > Contract_Manufacturing
29.5	Business > Electronics_and_Electrical > Power_Supplies
29.6	Business > Electronics_and_Electrical > Transformers_and_Inductors
29.7	Business > Electronics_and_Electrical > Control_Systems
29.8	Business > Electronics_and_Electrical > Production_Equipment_and_Materials
29.9	Business > Electronics_and_Electrical > Test_and_Measurement
29.10	Business > Electronics_and_Electrical > Optoelectronics_and_Fiber
30.1	Business > Energy > Oil_and_Gas
30.2	Business > Energy > Renewable
30.3	Business > Energy > Utilities
30.4	Business > Energy > Electricity
30.5	Business > Energy > Consulting
30.6	Business > Energy > Management
30.7	Business > Energy > Employment
30.8	Business > Energy > Fuel_Cells
30.9	Business > Energy > Associations
30.10	Business > Energy > Hydrogen
31.1	Business > Financial_Services > Banking_Services
31.2	Business > Financial_Services > Insurance
31.3	Business > Financial_Services > Mortgages
31.4	Business > Financial_Services > Venture_Capital
31.5	Business > Financial_Services > Credit_and_Collection
31.6	Business > Financial_Services > Financial_Planning
31.7	Business > Financial_Services > Medical_Billing
31.8	Business > Financial_Services > Merchant_Services
31.9	Business > Financial_Services > Cash_Flow
31.10	Business > Financial_Services > Holding_Companies
32.1	Business > Food_and_Related_Products > Beverages
32.2	Business > Food_and_Related_Products > Meat_and_Seafood
