ID	description
1	Arts > Animation
2	Arts > Architecture
3	Arts > Bodyart
4	Arts > Comics
5	Arts > Crafts
6	Arts > Education
7	Arts > Illustration
8	Arts > Literature
9	Arts > Movies
10	Arts > Music
11	Arts > Online_Writing
12	Arts > People
13	Arts > Performing_Arts
14	Arts > Photography
15	Arts > Radio
16	Arts > Television
17	Arts > Video
18	Arts > Visual_Arts
19	Arts > Writers_Resources
20	Business > Agriculture_and_Forestry
21	Business > Arts_and_Entertainment
22	Business > Automotive
23	Business > Business_Services
24	Business > Chemicals
25	Business > Construction_and_Maintenance
26	Business > Consumer_Goods_and_Services
27	Business > E-Commerce
28	Business > Education_and_Training
29	Business > Electronics_and_Electrical
30	Business > Energy
31	Business > Financial_Services
32	Business > Food_and_Related_Products
33	Business > Healthcare
34	Business > Hospitality
35	Business > Human_Resources
36	Business > Industrial_Goods_and_Services
37	Business > Information_Technology
38	Business > Investing
39	Business > Management
40	Business > Marketing_and_Advertising
41	Business > Materials
42	Business > Opportunities
43	Business > Real_Estate
44	Business > Retail_Trade
45	Business > Small_Business
46	Business > Telecommunications
47	Business > Textiles_and_Nonwovens
48	Business > Transportation_and_Logistics
49	Computers > Algorithms
50	Computers > Artificial_Intelligence
51	Computers > Artificial_Life
52	Computers > CAD_and_CAM
53	Computers > Companies
54	Computers > Computer_Science
55	Computers > Consultants
56	Computers > Data_Communications
57	Computers > Data_Formats
58	Computers > Emulators
59	Computers > Graphics
60	Computers > Hacking
61	Computers > Hardware
62	Computers > Internet
63	Computers > Mobile_Computing
64	Computers > Multimedia
65	Computers > Open_Source
66	Computers > Parallel_Computing
67	Computers > Programming
68	Computers > Robotics
69	Computers > Security
70	Computers > Software
71	Computers > Speech_Technology
72	Computers > Systems
73	Computers > Usenet
74	Computers > Virtual_Reality
75	Games > Board_Games
76	Games > Gambling
77	Games > Miniatures
78	Games > Roleplaying
79	Games > Trading_Card_Games
80	Games > Video_Games
81	Health > Alternative
82	Health > Animal
83	Health > Beauty
84	Health > Child_Health
85	Health > Conditions_and_Diseases
86	Health > Dentistry
87	Health > Fitness
88	Health > Medicine
89	Health > Mental_Health
90	Health > Nursing
91	Health > Nutrition
92	Health > Occupational_Health_and_Safety
93	Health > Professions
94	Health > Public_Health_and_Safety
95	Health > Reproductive_Health
96	Health > Senior_Health
97	Health > Women's_Health
98	Home > Consumer_Information
99	Home > Cooking
100	Home > Family
101	Home > Gardening
